case_name,case_directory,cycles,stream_id,queue_class,analytical_supported,analysis_reason,analytical_pure_wcd_us,analytical_delivery_wcd_us,observed_pure_wcd_us,observed_delivery_wcd_us,frame_instances,reference_wcrt_us,simulation_minus_analysis_us,analysis_minus_reference_us
test_case_1,group9_network_scheduling/test_cases/test_case_1,5,0,A,True,,567.2,573.673,200.25400000000081,203.9130000000008,10,,-366.94599999999923,
test_case_1,group9_network_scheduling/test_cases/test_case_1,5,1,A,True,,567.2,573.673,201.09900000000016,203.91300000000015,10,,-366.1009999999999,
test_case_1,group9_network_scheduling/test_cases/test_case_1,5,2,A,True,,666.24,672.713,349.01900000000023,351.83300000000025,5,,-317.2209999999998,
test_case_1,group9_network_scheduling/test_cases/test_case_1,5,3,A,True,,666.24,672.713,348.1740000000027,351.8330000000027,5,,-318.0659999999973,
test_case_1,group9_network_scheduling/test_cases/test_case_1,5,4,B,True,,932.16,938.633,273.89900000000034,276.71300000000036,10,,-658.2609999999996,
test_case_1,group9_network_scheduling/test_cases/test_case_1,5,5,B,True,,932.16,938.633,273.054000000001,276.713000000001,10,,-659.105999999999,
test_case_1,group9_network_scheduling/test_cases/test_case_1,5,6,B,True,,956.16,962.633,408.974000000002,412.63300000000197,10,,-547.185999999998,
test_case_1,group9_network_scheduling/test_cases/test_case_1,5,7,B,True,,956.16,962.633,409.8190000000004,412.63300000000044,10,,-546.3409999999996,
test_case_1,group9_network_scheduling/test_cases/test_case_1,5,8,BE,False,Analytical CBS bound is implemented for AVB classes A and B only.,,,496.299,499.113,5,,,
test_case_1,group9_network_scheduling/test_cases/test_case_1,5,9,BE,False,Analytical CBS bound is implemented for AVB classes A and B only.,,,495.45400000000154,499.11300000000153,5,,,
test_case_2,group9_network_scheduling/test_cases/test_case_2,5,0,A,True,,634.0799999999999,647.675,123.64700000000084,128.79500000000084,5,,-510.4329999999991,
test_case_2,group9_network_scheduling/test_cases/test_case_2,5,1,A,True,,634.0799999999999,647.675,120.34800000000087,128.79500000000087,5,,-513.7319999999991,
test_case_2,group9_network_scheduling/test_cases/test_case_2,5,2,A,True,,570.56,584.155,322.1880000000001,330.6350000000001,10,,-248.37199999999984,
test_case_2,group9_network_scheduling/test_cases/test_case_2,5,3,A,True,,570.56,584.155,325.487000000001,330.635000000001,10,,-245.07299999999896,
test_case_2,group9_network_scheduling/test_cases/test_case_2,5,4,B,True,,844.16,857.755,264.5880000000002,273.0350000000002,10,,-579.5719999999998,
test_case_2,group9_network_scheduling/test_cases/test_case_2,5,5,B,True,,844.16,857.755,267.8870000000006,273.03500000000065,10,,-576.2729999999993,
test_case_2,group9_network_scheduling/test_cases/test_case_2,5,6,B,True,,857.12,870.715,414.20700000000033,419.35500000000036,10,,-442.91299999999967,
test_case_2,group9_network_scheduling/test_cases/test_case_2,5,7,B,True,,857.12,870.715,410.90800000000036,419.35500000000036,10,,-446.21199999999965,
test_case_2,group9_network_scheduling/test_cases/test_case_2,5,8,BE,False,Analytical CBS bound is implemented for AVB classes A and B only.,,,448.1880000000001,456.6350000000001,5,,,
test_case_2,group9_network_scheduling/test_cases/test_case_2,5,9,BE,False,Analytical CBS bound is implemented for AVB classes A and B only.,,,451.487000000001,456.635000000001,5,,,
test_case_3,group9_network_scheduling/test_cases/test_case_3,5,0,A,True,,684.0,690.586,181.5620000000008,185.7860000000008,10,,-502.4379999999992,
test_case_3,group9_network_scheduling/test_cases/test_case_3,5,1,A,True,,684.0,690.586,183.4240000000009,185.78600000000088,10,,-500.5759999999991,
test_case_3,group9_network_scheduling/test_cases/test_case_3,5,2,A,True,,686.72,693.306,436.78400000000147,439.1460000000015,10,,-249.93599999999856,
test_case_3,group9_network_scheduling/test_cases/test_case_3,5,3,A,True,,686.72,693.306,434.9220000000014,439.1460000000014,10,,-251.79799999999864,
test_case_3,group9_network_scheduling/test_cases/test_case_3,5,4,B,True,,844.0,850.586,243.02400000000125,245.38600000000125,5,,-600.9759999999987,
test_case_3,group9_network_scheduling/test_cases/test_case_3,5,5,B,True,,844.0,850.586,241.16200000000117,245.38600000000116,5,,-602.8379999999988,
test_case_3,group9_network_scheduling/test_cases/test_case_3,5,6,B,True,,811.36,817.946,346.6820000000016,350.9060000000016,5,,-464.6779999999984,
test_case_3,group9_network_scheduling/test_cases/test_case_3,5,7,B,True,,811.36,817.946,348.5440000000017,350.9060000000017,5,,-462.8159999999983,
test_case_3,group9_network_scheduling/test_cases/test_case_3,5,8,BE,False,Analytical CBS bound is implemented for AVB classes A and B only.,,,495.40200000000095,499.62600000000094,10,,,
test_case_3,group9_network_scheduling/test_cases/test_case_3,5,9,BE,False,Analytical CBS bound is implemented for AVB classes A and B only.,,,497.26400000000103,499.62600000000106,10,,,
